[2025-01-06 22:33:54,657] INFO [Remit_agent.database.get_logger:77] Logger initialized: Remit_agent.database
[2025-01-06 22:33:54,674] INFO [Remit_agent.tools.tool_monitoring.get_logger:77] Logger initialized: Remit_agent.tools.tool_monitoring
[2025-01-06 22:33:54,675] INFO [Remit_agent.tools.tools.get_logger:77] Logger initialized: Remit_agent.tools.tools
[2025-01-06 22:33:55,234] INFO [Remit_agent.core.sql_agent.get_logger:77] Logger initialized: Remit_agent.core.sql_agent
[2025-01-06 22:33:55,237] INFO [__main__.get_logger:77] Logger initialized: __main__
[2025-01-06 22:33:55,237] INFO [__main__.main:103] === Starting Database Connection Tests ===
[2025-01-06 22:33:55,237] INFO [__main__.main:104] Database Server: 103.9.51.160
[2025-01-06 22:33:55,248] INFO [__main__.main:105] Database Name: CityRemitSystem
[2025-01-06 22:33:55,248] INFO [__main__.main:106] Whitelisted Tables: dbo.remitTransactions, dbo.customers
[2025-01-06 22:33:55,248] INFO [__main__.main:118] 
=== Running Test: Basic Connection ===
[2025-01-06 22:33:55,248] INFO [__main__.test_basic_connection:20] Testing basic database connection...
[2025-01-06 22:33:56,653] INFO [Remit_agent.database.receive_connect:37] New database connection established
[2025-01-06 22:33:56,737] INFO [__main__.test_basic_connection:29] SQL Server Version: Microsoft SQL Server 2016 (SP2) (KB4052908) - 13.0.5026.0 (X64) 
	Mar 18 2018 09:11:49 
	Copyright (...
[2025-01-06 22:33:56,821] INFO [__main__.main:118] 
=== Running Test: Session Management ===
[2025-01-06 22:33:56,821] INFO [__main__.test_session_management:37] Testing database session management...
[2025-01-06 22:33:57,068] INFO [__main__.main:118] 
=== Running Test: Table Access ===
[2025-01-06 22:33:57,068] INFO [__main__.test_table_access:52] Testing access to whitelisted tables...
[2025-01-06 22:33:57,444] INFO [__main__.main:118] 
=== Running Test: Table Schema ===
[2025-01-06 22:33:57,444] INFO [__main__.test_table_schema:69] Testing direct table schema retrieval...
[2025-01-06 22:33:57,714] INFO [__main__.test_table_schema:91] 
Table: dbo.remitTransactions
[2025-01-06 22:33:57,714] INFO [__main__.test_table_schema:93] Column: id, Type: uniqueidentifier, Length: None, Nullable: NO
[2025-01-06 22:33:57,716] INFO [__main__.test_table_schema:93] Column: remit_pin_number, Type: varchar, Length: 50, Nullable: YES
[2025-01-06 22:33:57,716] INFO [__main__.test_table_schema:93] Column: send_country, Type: varchar, Length: 2, Nullable: YES
[2025-01-06 22:33:57,716] INFO [__main__.test_table_schema:93] Column: send_agent_id, Type: uniqueidentifier, Length: None, Nullable: YES
[2025-01-06 22:33:57,716] INFO [__main__.test_table_schema:93] Column: send_agent_name, Type: varchar, Length: 100, Nullable: YES
[2025-01-06 22:33:57,716] INFO [__main__.test_table_schema:93] Column: payment_method, Type: varchar, Length: 50, Nullable: YES
[2025-01-06 22:33:57,717] INFO [__main__.test_table_schema:93] Column: transaction_type, Type: varchar, Length: 3, Nullable: YES
[2025-01-06 22:33:57,717] INFO [__main__.test_table_schema:93] Column: send_amount, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,717] INFO [__main__.test_table_schema:93] Column: service_fee, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,717] INFO [__main__.test_table_schema:93] Column: exchange_rate, Type: numeric, Length: None, Nullable: YES
[2025-01-06 22:33:57,717] INFO [__main__.test_table_schema:93] Column: collect_amount, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,717] INFO [__main__.test_table_schema:93] Column: send_currency, Type: varchar, Length: 3, Nullable: YES
[2025-01-06 22:33:57,718] INFO [__main__.test_table_schema:93] Column: send_ccy_buy_rate, Type: numeric, Length: None, Nullable: YES
[2025-01-06 22:33:57,718] INFO [__main__.test_table_schema:93] Column: send_ccy_sell_rate, Type: numeric, Length: None, Nullable: YES
[2025-01-06 22:33:57,718] INFO [__main__.test_table_schema:93] Column: send_amount_usd, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,718] INFO [__main__.test_table_schema:93] Column: service_fee_usd, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,719] INFO [__main__.test_table_schema:93] Column: collect_amount_usd, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,719] INFO [__main__.test_table_schema:93] Column: send_commission, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,719] INFO [__main__.test_table_schema:93] Column: send_commission_currency, Type: varchar, Length: 3, Nullable: YES
[2025-01-06 22:33:57,719] INFO [__main__.test_table_schema:93] Column: send_forex_gain, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,719] INFO [__main__.test_table_schema:93] Column: receive_country, Type: varchar, Length: 2, Nullable: YES
[2025-01-06 22:33:57,719] INFO [__main__.test_table_schema:93] Column: receive_agent_id, Type: uniqueidentifier, Length: None, Nullable: YES
[2025-01-06 22:33:57,720] INFO [__main__.test_table_schema:93] Column: receive_agent_name, Type: varchar, Length: 100, Nullable: YES
[2025-01-06 22:33:57,720] INFO [__main__.test_table_schema:93] Column: receive_amount, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,720] INFO [__main__.test_table_schema:93] Column: receive_currency, Type: varchar, Length: 3, Nullable: YES
[2025-01-06 22:33:57,720] INFO [__main__.test_table_schema:93] Column: receive_ccy_buy_rate, Type: numeric, Length: None, Nullable: YES
[2025-01-06 22:33:57,720] INFO [__main__.test_table_schema:93] Column: receive_ccy_sell_rate, Type: numeric, Length: None, Nullable: YES
[2025-01-06 22:33:57,721] INFO [__main__.test_table_schema:93] Column: receive_settlement_rate, Type: numeric, Length: None, Nullable: YES
[2025-01-06 22:33:57,721] INFO [__main__.test_table_schema:93] Column: receive_settlement_currency, Type: varchar, Length: 3, Nullable: YES
[2025-01-06 22:33:57,721] INFO [__main__.test_table_schema:93] Column: receive_settlement_amount, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,721] INFO [__main__.test_table_schema:93] Column: receive_commission, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,721] INFO [__main__.test_table_schema:93] Column: receive_commission_currency, Type: varchar, Length: 3, Nullable: YES
[2025-01-06 22:33:57,722] INFO [__main__.test_table_schema:93] Column: receive_forex_gain, Type: money, Length: None, Nullable: YES
[2025-01-06 22:33:57,722] INFO [__main__.test_table_schema:93] Column: sender_id, Type: uniqueidentifier, Length: None, Nullable: YES
[2025-01-06 22:33:57,722] INFO [__main__.test_table_schema:93] Column: sender_full_name, Type: varchar, Length: 152, Nullable: YES
[2025-01-06 22:33:57,722] INFO [__main__.test_table_schema:93] Column: sender_address_1, Type: varchar, Length: 100, Nullable: YES
[2025-01-06 22:33:57,722] INFO [__main__.test_table_schema:93] Column: sender_address_2, Type: varchar, Length: 100, Nullable: YES
[2025-01-06 22:33:57,722] INFO [__main__.test_table_schema:93] Column: sender_country, Type: char, Length: 2, Nullable: YES
[2025-01-06 22:33:57,723] INFO [__main__.test_table_schema:93] Column: source_of_income, Type: varchar, Length: 50, Nullable: YES
[2025-01-06 22:33:57,723] INFO [__main__.test_table_schema:93] Column: receiver_id, Type: uniqueidentifier, Length: None, Nullable: YES
[2025-01-06 22:33:57,723] INFO [__main__.test_table_schema:93] Column: receiver_full_name, Type: varchar, Length: 152, Nullable: YES
[2025-01-06 22:33:57,723] INFO [__main__.test_table_schema:93] Column: receiver_address_1, Type: varchar, Length: 100, Nullable: YES
[2025-01-06 22:33:57,723] INFO [__main__.test_table_schema:93] Column: receiver_address_2, Type: varchar, Length: 100, Nullable: YES
